,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
333,Jorge\Jorge,br BRA,DFMF,Santos,22,1996,29,28,2558,1,4,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches
334,Kaio Jorge\Kaio-Jorge,br BRA,FW,Santos,17,2002,3,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
335,Juan\Juan,br BRA,DF,Flamengo,39,1979,1,0,,0,0,0,0,0,0,,,,,,Matches
336,Juan\Juan,br BRA,FW,São Paulo,16,2002,1,1,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
337,Juanfran\Juanfran,es ESP,DF,São Paulo,34,1985,17,14,1162,0,2,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
338,Jucilei\Jucilei,br BRA,MF,São Paulo,30,1988,4,4,221,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
339,Igor Julião\Igor-Juliao,br BRA,DF,Fluminense,24,1994,15,8,790,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
340,Julinho\Julinho,br BRA,MFDF,Avaí,32,1986,9,6,525,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
341,Juninho\Juninho,br BRA,DF,Bahia,23,1995,27,27,2430,1,0,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matches
342,Juninho\Juninho,br BRA,MF,Fortaleza,32,1986,32,30,2713,3,6,2,2,5,0,0.10,0.20,0.30,0.03,0.23,Matches
343,Helio Junio\Helio-Junio,br BRA,FW,São Paulo,18,2000,8,1,172,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
344,Gerson Júnior\Gerson-Junior,br BRA,FW,CSA,19,1999,2,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
345,Marcos Júnior\Marcos-Junior,br BRA,MF,Vasco da Gama,23,1995,27,18,1698,3,0,0,0,5,0,0.16,0.00,0.16,0.16,0.16,Matches
346,Renê Júnior\Rene-Junior,br BRA,MF,Corinthians,29,1989,1,0,28,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
347,Walter Kannemann\Walter-Kannemann,ar ARG,DF,Grêmio,21,1997,17,17,1530,1,0,0,0,8,0,0.06,0.00,0.06,0.06,0.06,Matches
348,Kanu\Kanu,br BRA,DF,Botafogo (RJ),21,1997,3,0,134,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
349,Renato Kayser\Renato-Kayser,br BRA,MFFW,Chapecoense,22,1996,14,3,391,1,2,0,0,0,0,0.23,0.46,0.69,0.23,0.69,Matches
350,Kelvin\Kelvin,br BRA,FWMF,Fluminense,25,1993,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
351,Pedro Ken\Pedro-Ken,br BRA,MF,Ceará,31,1987,16,7,775,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
352,Kevin\Kevin,br BRA,DF,Goiás,21,1997,5,3,249,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
353,Khellven\Khellven,br BRA,DF,Atl Paranaense,17,2001,5,4,405,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
354,Kieza\Kieza,br BRA,FWMF,Fortaleza,32,1986,24,10,1164,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
355,Willian Klaus\Willian-Klaus,br BRA,DF,Internacional,25,1994,10,6,742,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
356,Eduardo Kunde\Eduardo-Kunde,br BRA,DF,Avaí,21,1997,12,12,1016,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
357,Victor Leandro Bagy\Victor-Leandro-Bagy,br BRA,GK,Atlético Mineiro,36,1983,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
358,Léo\Leo,br BRA,GK,Atl Paranaense,28,1990,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
359,Léo\Leo,br BRA,DF,Cruzeiro,31,1988,18,18,1620,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
360,Lima\Lima,br BRA,MF,Ceará,22,1996,15,14,1071,1,1,0,0,4,1,0.08,0.08,0.17,0.08,0.17,Matches
361,Erik Lima\Erik-Lima,br BRA,MFFW,Botafogo (RJ),24,1994,10,10,828,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
362,Gabriel Lima\Gabriel-Lima,br BRA,FW,Avaí,40,1978,6,0,197,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
363,Lucas Lima\Lucas-Lima,br BRA,MF,Palmeiras,28,1990,23,12,1174,1,4,0,0,5,1,0.08,0.31,0.38,0.08,0.38,Matches
364,Lincoln\Lincoln,br BRA,FW,Flamengo,18,2000,11,4,391,3,2,0,0,1,0,0.69,0.46,1.15,0.69,1.15,Matches
365,Rodrigo Lindoso\Rodrigo-Lindoso,br BRA,MF,Internacional,29,1989,27,27,2374,4,2,0,0,5,0,0.15,0.08,0.23,0.15,0.23,Matches
366,Liziero\Liziero,br BRA,MF,São Paulo,20,1998,21,16,1197,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
367,Vini Locatelli\Vini-Locatelli,br BRA,MF,Chapecoense,20,1998,12,4,440,1,1,0,0,0,0,0.20,0.20,0.41,0.20,0.41,Matches
368,Renan Lodi\Renan-Lodi,br BRA,DF,Atl Paranaense,20,1998,3,3,262,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
369,Marcelo Lomba\Marcelo-Lomba,br BRA,GK,Internacional,32,1986,34,34,3020,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
370,Maxi López\Maxi-Lopez,ar ARG,FW,Vasco da Gama,34,1984,5,5,418,2,0,1,1,1,0,0.43,0.00,0.43,0.22,0.22,Matches
371,Nicolás López\Nicolas-Lopez,uy URU,FWMF,Internacional,25,1993,25,19,1593,1,3,0,0,5,0,0.06,0.17,0.23,0.06,0.23,Matches
372,Lourenço\Lourenco,br BRA,DFMF,Avaí,21,1997,27,25,2117,1,3,0,0,3,0,0.04,0.13,0.17,0.04,0.17,Matches
373,Lourency\Lourency,br BRA,MF,Chapecoense,23,1996,1,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
374,Vágner Love\Vagner-Love,br BRA,FWMF,Corinthians,34,1984,28,18,1758,5,1,1,1,5,0,0.26,0.05,0.31,0.20,0.26,Matches
375,Luan\Luan,br BRA,MF,São Paulo,19,1999,23,18,1605,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
376,Luan\Luan,br BRA,MF,Atlético Mineiro,28,1990,28,24,2091,4,1,0,1,5,0,0.17,0.04,0.22,0.17,0.22,Matches
377,Luanderson\Luanderson,br BRA,MF,Avaí,29,1989,13,12,947,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
378,Lucão\Lucao,br BRA,DF,Goiás,22,1996,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
379,Lucão\Lucao,br BRA,FW,Fluminense,27,1991,6,0,74,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
380,João Lucas Cardoso\Joao-Lucas-Cardoso,br BRA,DF,Ceará,27,1991,32,31,2770,1,0,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches
381,Jean Lucas\Jean-Lucas,br BRA,MF,Santos,20,1998,9,8,628,0,1,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
382,João Lucas\Joao-Lucas,br BRA,DF,Flamengo,20,1998,6,2,214,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
383,Pedro Lucas\Pedro-Lucas,br BRA,FW,Internacional,20,1998,5,0,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
384,Lucca\Lucca,br BRA,MFFW,Bahia,28,1990,17,10,869,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
385,Luciano\Luciano,br BRA,MFFW,Fluminense,25,1993,6,6,520,2,1,0,1,3,0,0.35,0.17,0.52,0.35,0.52,Matches
386,Luciano\Luciano,br BRA,MFFW,Grêmio,25,1993,19,16,1242,5,3,2,2,3,0,0.36,0.22,0.58,0.22,0.43,Matches
387,André Luis\Andre-Luis,br BRA,MF,Corinthians,21,1997,1,1,65,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
388,André Luis\Andre-Luis,br BRA,FWMF,Fortaleza,21,1997,24,17,1389,2,0,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
389,Filipe Luís\Filipe-Luis,br BRA,DF,Flamengo,33,1985,16,15,1273,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
390,Victor Luis\Victor-Luis,br BRA,DF,Palmeiras,25,1993,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
391,Madson\Madson,br BRA,MF,CSA,32,1986,6,4,356,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
392,Mádson\Madson,br BRA,DF,Atl Paranaense,27,1992,27,26,2340,5,1,0,0,2,0,0.19,0.04,0.23,0.19,0.23,Matches
393,Moisés Magalhães\Moises-Magalhaes,br BRA,MF,Palmeiras,30,1988,9,2,314,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
394,Talles Magno\Talles-Magno,br BRA,MFFW,Vasco da Gama,16,2002,15,12,1065,2,0,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches
395,Cristian Maidana\Cristian-Maidana,ar ARG,MF,CSA,32,1987,1,1,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
396,Iago Maidana\Iago-Maidana,br BRA,DF,Atlético Mineiro,22,1996,7,7,630,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
397,Manoel\Manoel,br BRA,DF,Corinthians,28,1990,31,31,2790,1,0,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches
398,Luis Manuel Orejuela\Luis-Manuel-Orejuela,co COL,DF,Cruzeiro,23,1995,23,23,1820,2,0,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches
399,Maranhão\Maranhao,br BRA,MFFW,CSA,28,1990,11,7,684,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches
400,Marcelo\Marcelo,br BRA,DF,Botafogo (RJ),23,1996,17,17,1453,2,1,0,0,3,0,0.12,0.06,0.19,0.12,0.19,Matches
401,Marcinho\Marcinho,br BRA,FWMF,Goiás,23,1995,3,0,39,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
402,Marcinho\Marcinho,br BRA,MF,Avaí,19,1999,3,1,76,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
403,Marcinho\Marcinho,br BRA,DFMF,Botafogo (RJ),22,1996,25,23,2102,1,4,0,0,2,0,0.04,0.17,0.21,0.04,0.21,Matches
404,Marcinho\Marcinho,br BRA,MF,Fortaleza,23,1995,8,6,472,2,2,0,0,2,0,0.38,0.38,0.76,0.38,0.76,Matches
405,Zé Marcos\Ze-Marcos,br BRA,DF,Avaí,20,1998,3,3,209,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
406,Pablo Marí\Pablo-Mari,es ESP,DF,Flamengo,25,1993,22,22,1980,2,1,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches
407,Marinho\Marinho,br BRA,FWMF,Grêmio,28,1990,2,0,47,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
408,Marinho\Marinho,br BRA,FW,Santos,28,1990,27,18,1690,8,4,0,0,13,1,0.43,0.21,0.64,0.43,0.64,Matches
409,Rodriguinho Marinho\Rodriguinho-Marinho,br BRA,MF,Cruzeiro,30,1988,5,4,296,1,0,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches
410,Marlon\Marlon,br BRA,MF,Fortaleza,28,1990,19,3,563,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
411,Marlone\Marlone,br BRA,MF,Goiás,26,1992,16,4,585,2,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
412,Brenner Marlos\Brenner-Marlos,br BRA,FW,Avaí,24,1994,14,12,934,2,0,1,1,4,1,0.19,0.00,0.19,0.10,0.10,Matches
413,Maicon Marques\Maicon-Marques,br BRA,MF,Atlético Mineiro,28,1990,11,1,352,0,2,0,0,2,0,0.00,0.51,0.51,0.00,0.51,Matches
414,Marquinho\Marquinho,br BRA,MFFW,Vasco da Gama,32,1986,7,5,322,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
415,Marquinhos\Marquinhos,br BRA,MF,Atlético Mineiro,19,1999,12,7,669,1,3,0,0,0,0,0.13,0.40,0.54,0.13,0.54,Matches
416,Marquinhos\Marquinhos,br BRA,DF,Avaí,36,1982,19,18,1624,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
417,Marrony\Marrony,br BRA,FWMF,Vasco da Gama,19,1999,34,30,2636,4,2,0,0,9,1,0.14,0.07,0.20,0.14,0.20,Matches
418,Ramón Martínez\Ramon-Martinez,py PAR,MF,Atlético Mineiro,23,1996,10,8,655,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
419,Anderson Martins\Anderson-Martins,br BRA,DF,São Paulo,31,1987,11,10,896,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
420,Wellington Martins\Wellington-Martins,br BRA,MF,Atl Paranaense,28,1991,29,28,2415,0,1,0,0,12,0,0.00,0.04,0.04,0.00,0.04,Matches
421,Matheus Mascarenhas\Matheus-Mascarenhas,br BRA,DF,Fluminense,20,1998,1,0,45,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
422,Matheus\Matheus,br BRA,FW,Avaí,20,1998,4,0,115,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
423,Mauricio\Mauricio,br BRA,MFFW,Cruzeiro,17,2001,8,2,296,1,0,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
424,Mayke\Mayke,br BRA,DF,Palmeiras,26,1992,6,5,391,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
425,Phelipe Megiolaro\Phelipe-Megiolaro,br BRA,GK,Grêmio,19,1999,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
426,Alexandre Melo\Alexandre-Melo,br BRA,DF,Vasco da Gama,19,1999,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
427,Bruno Melo\Bruno-Melo,br BRA,DF,Fortaleza,26,1992,14,13,1182,3,3,1,2,3,1,0.23,0.23,0.46,0.15,0.38,Matches
428,Felipe Melo\Felipe-Melo,br BRA,MF,Palmeiras,35,1983,24,24,2041,3,1,0,0,10,1,0.13,0.04,0.18,0.13,0.18,Matches
429,Rodolfo de Melo\Rodolfo-de-Melo,br BRA,GK,Fluminense,27,1991,6,5,471,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
430,Darlan Mendes\Darlan-Mendes,br BRA,MF,Grêmio,20,1998,13,6,596,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
431,Edílson Mendes\Edilson-Mendes,br BRA,DF,Cruzeiro,32,1986,13,9,888,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
432,Bruno Méndez\Bruno-Mendez,uy URU,DF,Corinthians,19,1999,6,5,522,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
433,Michael\Michael,br BRA,MFFW,Goiás,22,1996,35,35,3033,9,5,0,0,6,1,0.27,0.15,0.42,0.27,0.42,Matches
434,Michel\Michel,br BRA,MFDF,Grêmio,28,1990,22,20,1706,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
435,Michel\Michel,br BRA,DF,Corinthians,28,1990,10,9,697,1,0,0,0,1,1,0.13,0.00,0.13,0.13,0.13,Matches
436,Fernando Miguel\Fernando-Miguel,br BRA,GK,Vasco da Gama,33,1985,30,30,2655,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
437,Lucas Mineiro\Lucas-Mineiro,br BRA,MF,Vasco da Gama,22,1996,11,8,712,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
438,Miranda\Miranda,br BRA,DF,Vasco da Gama,19,2000,1,1,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
439,Paulo Miranda\Paulo-Miranda,br BRA,DF,Grêmio,30,1988,12,10,945,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
440,Moisés\Moises,br BRA,DF,Bahia,23,1995,30,30,2567,0,2,0,0,4,1,0.00,0.07,0.07,0.00,0.07,Matches
441,Rodrigo Moledo\Rodrigo-Moledo,br BRA,DF,Internacional,31,1987,17,16,1308,1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
442,Walter Montoya\Walter-Montoya,ar ARG,MF,Grêmio,25,1993,3,3,217,0,1,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
443,Leonardo Morais\Leonardo-Morais,br BRA,DF,Avaí,27,1991,18,15,1308,0,2,0,0,8,2,0.00,0.14,0.14,0.00,0.14,Matches
444,Jonathan Moreira\Jonathan-Moreira,br BRA,DF,Atl Paranaense,32,1986,7,6,498,1,0,1,1,2,0,0.18,0.00,0.18,0.00,0.00,Matches
445,André Moritz\Andre-Moritz,br BRA,FWMF,Avaí,32,1986,4,0,107,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
446,Jonny Mosquera\Jonny-Mosquera,co COL,MF,Avaí,27,1991,11,4,461,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
447,Jean Mota\Jean-Mota,br BRA,MFFW,Santos,25,1993,27,13,1266,1,1,1,1,3,0,0.07,0.07,0.14,0.00,0.07,Matches
448,Hugo Moura\Hugo-Moura,br BRA,MF,Flamengo,21,1998,2,1,90,0,1,0,0,1,0,0.00,1.00,1.00,0.00,1.00,Matches
449,Léo Moura\Leo-Moura,br BRA,DF,Grêmio,40,1978,19,17,1483,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
450,Rafael Moura\Rafael-Moura,br BRA,FW,Goiás,35,1983,23,19,1601,9,1,2,2,6,1,0.51,0.06,0.56,0.39,0.45,Matches
451,Naldo\Naldo,br BRA,MF,CSA,28,1990,24,21,1749,0,3,0,0,5,0,0.00,0.15,0.15,0.00,0.15,Matches
452,Andrey Ramos do Nascimento\Andrey-Ramos-do-Nascimento,br BRA,MF,Vasco da Gama,20,1998,17,9,828,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
453,Natanael\Natanael,br BRA,DF,Internacional,28,1990,7,7,547,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
454,Nathan\Nathan,br BRA,MF,Atlético Mineiro,22,1996,20,12,1138,4,0,0,0,3,0,0.32,0.00,0.32,0.32,0.32,Matches
455,Vitor Naum\Vitor-Naum,br BRA,MFFW,Atl Paranaense,19,1999,16,6,692,2,2,0,0,3,1,0.26,0.26,0.52,0.26,0.52,Matches
456,Bruno Nazário\Bruno-Nazario,br BRA,MF,Atl Paranaense,23,1995,14,6,658,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
457,Neílton\Neilton,br BRA,MFFW,Internacional,24,1994,16,9,765,1,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
458,Wellington Nem\Wellington-Nem,br BRA,MF,Fluminense,26,1992,18,6,733,1,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
459,Nenê\Nene,br BRA,MF,Fluminense,37,1981,25,19,1618,3,2,1,1,5,1,0.17,0.11,0.28,0.11,0.22,Matches
460,Nenê\Nene,br BRA,FWMF,São Paulo,37,1981,2,0,45,0,1,0,0,0,0,0.00,2.00,2.00,0.00,2.00,Matches
461,Thiago Neves\Thiago-Neves,br BRA,MF,Cruzeiro,33,1985,28,25,2112,6,5,1,2,8,0,0.26,0.21,0.47,0.21,0.43,Matches
462,Nikão\Nikao,br BRA,MFFW,Atl Paranaense,26,1992,23,20,1704,5,2,1,1,3,0,0.26,0.11,0.37,0.21,0.32,Matches
463,Nílton\Nilton,br BRA,MF,Bahia,31,1987,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
464,Nílton\Nilton,br BRA,MF,CSA,31,1987,12,12,892,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
465,Nino\Nino,br BRA,DF,Fluminense,21,1997,36,36,3239,1,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06,Matches
466,Nonato\Nonato,br BRA,MF,Internacional,20,1998,26,20,1735,3,1,0,0,3,0,0.16,0.05,0.21,0.16,0.21,Matches
467,Kaio Nunes\Kaio-Nunes,br BRA,MF,Goiás,23,1996,13,1,255,0,1,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
468,Yuri Oliveira Lima\Yuri-Oliveira-Lima,br BRA,MFDF,Fluminense,24,1994,25,21,1811,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
469,Paulinho Oliveira\Paulinho-Oliveira,br BRA,DF,Avaí,30,1988,6,6,511,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
470,Ricardo Oliveira\Ricardo-Oliveira,br BRA,FW,Atlético Mineiro,38,1980,21,15,1159,2,2,0,1,0,0,0.16,0.16,0.31,0.16,0.31,Matches
471,William Oliveira\William-Oliveira,br BRA,MF,Ceará,26,1992,14,11,912,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
472,Orinho\Orinho,br BRA,DF,Fluminense,23,1995,5,3,234,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
473,Osvaldo\Osvaldo,br BRA,MF,Fortaleza,31,1987,32,22,1722,8,5,0,0,3,1,0.42,0.26,0.68,0.42,0.68,Matches
474,Nathan Otávio Ribeiro\Nathan-Otavio-Ribeiro,br BRA,DF,Fortaleza,28,1990,5,3,306,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
475,Luiz Otávio\Luiz-Otavio,br BRA,DF,Ceará,30,1988,26,26,2264,2,1,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches
476,Rómulo Otero\Romulo-Otero,ve VEN,MF,Atlético Mineiro,26,1992,20,14,1271,3,1,0,0,6,0,0.21,0.07,0.28,0.21,0.28,Matches
477,Pablo\Pablo,br BRA,FW,São Paulo,26,1992,13,13,1030,3,1,0,0,3,0,0.26,0.09,0.35,0.26,0.35,Matches
478,Henrique Pacheco Lima\Henrique-Pacheco-Lima,br BRA,MF,Cruzeiro,33,1985,33,33,2970,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
479,Bruno Pacheco\Bruno-Pacheco,br BRA,DF,Chapecoense,27,1991,33,33,2931,0,5,0,0,6,1,0.00,0.15,0.15,0.00,0.15,Matches
480,Giovanni Palmieri\Giovanni-Palmieri,br BRA,DFMF,Bahia,29,1989,10,8,756,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
481,Papagaio\Papagaio,br BRA,FW,Goiás,19,1999,4,1,149,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
482,Papagaio\Papagaio,br BRA,FW,Atlético Mineiro,19,1999,5,1,125,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
483,Pará\Para,br BRA,DF,Santos,32,1986,11,8,810,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
484,Pará\Para,br BRA,DF,Flamengo,32,1986,6,6,531,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
485,Nino Paraíba\Nino-Paraiba,br BRA,DF,Bahia,33,1986,29,28,2501,2,4,0,0,4,0,0.07,0.14,0.22,0.07,0.22,Matches
486,Victor Paraíba\Victor-Paraiba,br BRA,MF,CSA,20,1998,9,1,271,0,1,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
487,Guilherme Parede\Guilherme-Parede,br BRA,MFFW,Internacional,23,1995,25,14,1365,3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,Matches
488,Alexandre Pato\Alexandre-Pato,br BRA,FWMF,São Paulo,29,1989,20,18,1442,5,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,Matches
489,Patrick\Patrick,br BRA,MFFW,Internacional,26,1992,24,20,1743,2,1,0,0,5,0,0.10,0.05,0.15,0.10,0.15,Matches
490,Patrick\Patrick,br BRA,MF,Grêmio,20,1998,18,1,333,2,0,0,0,1,0,0.54,0.00,0.54,0.54,0.54,Matches
491,Marcos de Paula Dutra\Marcos-de-Paula-Dutra,br BRA,GK,Goiás,25,1993,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
492,Paulão\Paulao,br BRA,DF,Fortaleza,32,1986,12,11,1004,2,0,0,0,3,1,0.18,0.00,0.18,0.18,0.18,Matches
493,Paulinho\Paulinho,br BRA,DF,Bahia,24,1995,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
494,Caio Paulista\Caio-Paulista,br BRA,MFFW,Avaí,20,1998,26,23,2021,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
495,Wellington Paulista\Wellington-Paulista,br BRA,FW,Fortaleza,34,1984,31,28,2435,13,3,5,5,7,0,0.48,0.11,0.59,0.30,0.41,Matches
496,João Paulo Mior\Joao-Paulo-Mior,br BRA,MF,Botafogo (RJ),27,1991,36,36,2969,3,2,0,0,5,0,0.09,0.06,0.15,0.09,0.15,Matches
497,João Paulo\Joao-Paulo,br BRA,MFFW,Avaí,28,1990,28,22,2085,5,0,3,3,8,1,0.22,0.00,0.22,0.09,0.09,Matches
498,Marcos Paulo\Marcos-Paulo,br BRA,MFFW,Fluminense,17,2001,24,16,1394,4,4,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches
499,Pedrinho\Pedrinho,br BRA,MF,Corinthians,20,1998,28,26,2181,5,4,0,0,0,0,0.21,0.17,0.37,0.21,0.37,Matches
500,Pedrinho\Pedrinho,br BRA,FW,Atl Paranaense,19,1999,6,1,126,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
501,Pedro\Pedro,br BRA,FW,Fluminense,21,1997,10,7,627,5,0,2,2,0,0,0.72,0.00,0.72,0.43,0.43,Matches
502,João Pedro\Joao-Pedro,br BRA,MFDF,Bahia,22,1996,12,11,890,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
503,João Pedro\Joao-Pedro,br BRA,FWMF,Fluminense,17,2001,25,18,1694,4,1,0,0,1,0,0.21,0.05,0.27,0.21,0.27,Matches
504,Jarro Pedroso\Jarro-Pedroso,br BRA,FW,CSA,25,1993,5,0,114,1,0,0,0,1,0,0.79,0.00,0.79,0.79,0.79,Matches
505,Léo Pelé\Leo-Pele,br BRA,DF,São Paulo,22,1996,5,3,282,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
506,Pepê\Pepe,br BRA,MF,Grêmio,21,1997,32,14,1679,7,3,1,1,2,0,0.38,0.16,0.54,0.32,0.48,Matches
