,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
64,Bill\Bill,br BRA,FW,Flamengo,19,1999,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Gustavo Bochecha\Gustavo-Bochecha,br BRA,MF,Botafogo (RJ),22,1996,22,18,1499,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
66,Marcelo Boeck\Marcelo-Boeck,br BRA,GK,Fortaleza,34,1984,8,6,594,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Nenê Bonilha\Nene-Bonilha,br BRA,MF,Fortaleza,26,1992,6,2,259,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Marllon Borges\Marllon-Borges,br BRA,DF,Corinthians,26,1992,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Miguel Borja\Miguel-Borja,co COL,FW,Palmeiras,26,1993,9,3,345,1,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches
70,Mauro Boselli\Mauro-Boselli,ar ARG,FW,Corinthians,33,1985,22,16,1356,7,2,1,1,3,0,0.46,0.13,0.60,0.40,0.53,Matches
71,Júnior Brandão\Junior-Brandao,br BRA,FW,Goiás,24,1995,6,1,136,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
72,David Braz\David-Braz,br BRA,DF,Grêmio,31,1987,18,17,1568,2,2,0,0,0,0,0.11,0.11,0.23,0.11,0.23,Matches
73,Brenner\Brenner,br BRA,MFFW,Fluminense,19,2000,5,2,220,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Brenner\Brenner,br BRA,FW,São Paulo,19,2000,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Breno\Breno,br BRA,MFDF,Goiás,18,2000,11,3,375,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
76,Feliciano Brizuela\Feliciano-Brizuela,py PAR,FW,Avaí,22,1996,4,1,171,1,0,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches
77,Eduardo Brock\Eduardo-Brock,br BRA,DF,Ceará,27,1991,9,5,480,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Fabrício Bruno\Fabricio-Bruno,br BRA,DF,Cruzeiro,22,1996,19,19,1710,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Bryan\Bryan,br BRA,DF,Chapecoense,22,1996,9,6,557,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Ricardo Bueno\Ricardo-Bueno,br BRA,FW,CSA,31,1987,23,17,1608,4,0,1,1,5,0,0.22,0.00,0.22,0.17,0.17,Matches
