,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
49,Vinicio Angulo\Vinicio-Angulo,ec ECU,FW,León,30,1988,8,4,344,2,0,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches
50,Francisco Antonio Figueroa\Francisco-Antonio-Figueroa,mx MEX,MFFW,Pachuca,19,1999,14,3,400,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Luis Antonio Martínez\Luis-Antonio-Martinez,mx MEX,MFDF,Veracruz,31,1987,12,7,665,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
52,José Antonio Rodríguez\Jose-Antonio-Rodriguez,mx MEX,GK,Lobos BUAP,26,1992,32,32,2880,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Javier Aquino\Javier-Aquino,mx MEX,MFFW,UANL,28,1990,23,19,1605,2,8,0,0,2,1,0.11,0.45,0.56,0.11,0.56,Matches
54,Pedro Aquino\Pedro-Aquino,pe PER,MF,León,23,1995,16,12,943,2,0,0,0,5,2,0.19,0.00,0.19,0.19,0.19,Matches
55,Aldo Arellano\Aldo-Arellano,mx MEX,MF,Querétaro,23,1995,4,3,202,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Rodrigo Armando González\Rodrigo-Armando-Gonzalez,mx MEX,DF,UNAM,23,1995,1,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Daniel Arreola\Daniel-Arreola,mx MEX,DF,Puebla,32,1985,29,28,2435,5,0,2,2,11,1,0.18,0.00,0.18,0.11,0.11,Matches
58,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,UNAM,29,1989,19,18,1595,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
59,Gerardo Arteaga\Gerardo-Arteaga,mx MEX,DF,Santos,19,1998,27,15,1540,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
60,José Arturo Rivas\Jose-Arturo-Rivas,mx MEX,DF,Veracruz,33,1984,13,13,1170,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Irven Ávila\Irven-Avila,pe PER,FW,Morelia,28,1990,18,11,1001,2,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches
62,José Ávila\Jose-Avila,mx MEX,MF,Atlas,20,1998,4,0,54,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Hugo Ayala\Hugo-Ayala,mx MEX,DF,UANL,31,1987,29,28,2565,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Rafael Baca\Rafael-Baca,mx MEX,MF,Cruz Azul,28,1989,28,25,2152,1,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,Matches
