,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
59,Fabrizio Angileri\Fabrizio-Angileri,ar ARG,DF,Godoy Cruz,24,1994,19,19,1689,0,3,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches
60,Aldo Araujo\Aldo-Araujo,ar ARG,FW,Talleres,26,1992,5,1,169,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Carlos Araujo\Carlos-Araujo,ar ARG,DF,CA Huracán,36,1981,15,14,1185,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,Matches
62,Miguel Araujo\Miguel-Araujo,pe PER,DF,Talleres,23,1994,12,12,990,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Iván Arboleda\Ivan-Arboleda,co COL,GK,Banfield,22,1996,22,22,1980,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Ignacio Arce\Ignacio-Arce,ar ARG,GK,San Martin,26,1992,7,7,556,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
65,Rodrigo Arciero\Rodrigo-Arciero,ar ARG,DF,Banfield,25,1993,14,14,1228,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Luis Ardente\Luis-Ardente,ar ARG,GK,San Martín SJ,36,1981,25,25,2250,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Nahuel Arena\Nahuel-Arena,ar ARG,DF,Godoy Cruz,19,1998,8,6,573,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
68,Nahuel Arena\Nahuel-Arena,ar ARG,DF,Vélez Sarsf,19,1998,1,0,,0,0,0,0,0,0,,,,,,Matches
69,Gabriel Arias\Gabriel-Arias,cl CHI,GK,Racing Club,30,1987,18,18,1620,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Junior Arias\Junior-Arias,uy URU,FW,Talleres,25,1993,22,15,1351,5,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
71,Joaquín Ariel Novillo\Joaquin-Ariel-Novillo,ar ARG,DF,Belgrano,20,1998,9,9,805,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
